station_id,time,num_bikes_available,name,lat,lon,hour
169,2022-05-14T08:18:35Z,6,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.888767,-77.02858,8
207,2022-05-14T08:18:35Z,10,5th St & Massachusetts Ave NW,38.90093,-77.018677,8
210,2022-05-14T08:18:35Z,14,3rd & M St NE,38.9054697149433,-77.0021304488182,8
242,2022-05-14T08:18:35Z,9,12th & U St NW,38.916787,-77.028139,8
369,2022-05-14T08:18:35Z,18,2nd & G St NE,38.89967,-77.003666,8
370,2022-05-14T08:18:35Z,16,8th & O St NW,38.90864,-77.02277,8
391,2022-05-14T08:18:35Z,13,1st & O St NW,38.908643,-77.012365,8
408,2022-05-14T08:18:35Z,10,4th St & Madison Dr NW,38.890493,-77.017253,8
418,2022-05-14T08:18:35Z,9,14th & Irving St NW,38.928552,-77.032224,8
484,2022-05-14T08:18:35Z,14,11th & Girard St NW,38.925636,-77.027112,8
485,2022-05-14T08:18:35Z,8,Connecticut Ave & R St NW,38.912644,-77.04564,8
15,2022-05-14T09:18:35Z,1,14th & V St NW,38.917931,-77.032112,9
21,2022-05-14T09:18:35Z,16,Lamont & Mt Pleasant NW,38.9319,-77.0388,9
22,2022-05-14T09:18:35Z,14,4th & M St SW,38.8767,-77.0178,9
51,2022-05-14T09:18:35Z,18,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,9
92,2022-05-14T09:18:35Z,4,8th & H St NW,38.8997,-77.023086,9
99,2022-05-14T09:18:35Z,11,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,9
103,2022-05-14T09:18:35Z,32,Metro Center / 12th & G St NW,38.898364,-77.027869,9
105,2022-05-14T09:18:35Z,3,7th & F St NW / National Portrait Gallery,38.8972830485385,-77.0221906900406,9
106,2022-05-14T09:18:35Z,11,17th & K St NW / Farragut Square,38.902061,-77.038322,9
113,2022-05-14T09:18:35Z,13,Columbus Circle / Union Station,38.89696,-77.00493,9
124,2022-05-14T09:18:35Z,11,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,9
144,2022-05-14T09:18:35Z,12,3rd & G St SE,38.881185,-77.001828,9
148,2022-05-14T09:18:35Z,18,Columbia Rd & Georgia Ave NW,38.928121111321,-77.0237946510315,9
159,2022-05-14T09:18:35Z,13,10th & K St NW,38.9024,-77.02622,9
169,2022-05-14T09:18:35Z,6,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.888767,-77.02858,9
207,2022-05-14T09:18:35Z,10,5th St & Massachusetts Ave NW,38.90093,-77.018677,9
210,2022-05-14T09:18:35Z,14,3rd & M St NE,38.9054697149433,-77.0021304488182,9
242,2022-05-14T09:18:35Z,9,12th & U St NW,38.916787,-77.028139,9
369,2022-05-14T09:18:35Z,18,2nd & G St NE,38.89967,-77.003666,9
370,2022-05-14T09:18:35Z,16,8th & O St NW,38.90864,-77.02277,9
391,2022-05-14T09:18:35Z,13,1st & O St NW,38.908643,-77.012365,9
408,2022-05-14T09:18:35Z,10,4th St & Madison Dr NW,38.890493,-77.017253,9
418,2022-05-14T09:18:35Z,10,14th & Irving St NW,38.928552,-77.032224,9
484,2022-05-14T09:18:35Z,13,11th & Girard St NW,38.925636,-77.027112,9
485,2022-05-14T09:18:35Z,8,Connecticut Ave & R St NW,38.912644,-77.04564,9
15,2022-05-14T10:18:35Z,1,14th & V St NW,38.917931,-77.032112,10
21,2022-05-14T10:18:35Z,16,Lamont & Mt Pleasant NW,38.9319,-77.0388,10
22,2022-05-14T10:18:35Z,14,4th & M St SW,38.8767,-77.0178,10
51,2022-05-14T10:18:35Z,17,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,10
92,2022-05-14T10:18:35Z,4,8th & H St NW,38.8997,-77.023086,10
99,2022-05-14T10:18:35Z,12,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,10
103,2022-05-14T10:18:35Z,32,Metro Center / 12th & G St NW,38.898364,-77.027869,10
105,2022-05-14T10:18:35Z,3,7th & F St NW / National Portrait Gallery,38.8972830485385,-77.0221906900406,10
106,2022-05-14T10:18:35Z,11,17th & K St NW / Farragut Square,38.902061,-77.038322,10
113,2022-05-14T10:18:35Z,13,Columbus Circle / Union Station,38.89696,-77.00493,10
124,2022-05-14T10:18:35Z,11,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,10
144,2022-05-14T10:18:35Z,12,3rd & G St SE,38.881185,-77.001828,10
148,2022-05-14T10:18:35Z,18,Columbia Rd & Georgia Ave NW,38.928121111321,-77.0237946510315,10
159,2022-05-14T10:18:35Z,13,10th & K St NW,38.9024,-77.02622,10
169,2022-05-14T10:18:35Z,6,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.888767,-77.02858,10
207,2022-05-14T10:18:35Z,10,5th St & Massachusetts Ave NW,38.90093,-77.018677,10
210,2022-05-14T10:18:35Z,14,3rd & M St NE,38.9054697149433,-77.0021304488182,10
242,2022-05-14T10:18:35Z,9,12th & U St NW,38.916787,-77.028139,10
369,2022-05-14T10:18:35Z,18,2nd & G St NE,38.89967,-77.003666,10
370,2022-05-14T10:18:35Z,16,8th & O St NW,38.90864,-77.02277,10
391,2022-05-14T10:18:35Z,13,1st & O St NW,38.908643,-77.012365,10
408,2022-05-14T10:18:35Z,10,4th St & Madison Dr NW,38.890493,-77.017253,10
418,2022-05-14T10:18:35Z,11,14th & Irving St NW,38.928552,-77.032224,10
484,2022-05-14T10:18:35Z,12,11th & Girard St NW,38.925636,-77.027112,10
485,2022-05-14T10:18:35Z,8,Connecticut Ave & R St NW,38.912644,-77.04564,10
15,2022-05-14T11:18:25Z,2,14th & V St NW,38.917931,-77.032112,11
21,2022-05-14T11:18:25Z,13,Lamont & Mt Pleasant NW,38.9319,-77.0388,11
